
=======================================================================
  B881 NR5G MAC UL TB Stats — Parsed Records
=======================================================================
  Pkt   Ver    Delta Tx (Bytes)   Cumul Tx        ReTx      
  636   3.1    4227               1119453022      94807908  
  637   3.1    3937               1119456959      94807908  
  638   3.1    7136               1119464095      94807908  
  639   3.1    3649               1119467744      94807908  
  640   3.1    0                  1119467744      94811557  
  641   3.1    1694               1119469438      94811557  
  642   3.1    0                  1119469438      94812966  
  643   3.1    7877               1119477315      94812966  
  644   3.1    7588               1119484903      94812966  
  645   3.1    592                1119485495      94812966  
  646   3.1    269                1119485764      94812966  
  647   3.1    4352               1119490116      94812966  
  648   3.1    0                  1119490116      94812966  
  649   3.1    0                  1119490116      94812966  
  650   3.1    0                  1119490116      94812966  
  651   3.1    285                1119490401      94812966  
  652   3.1    3586               1119493987      94812966  
  653   3.1    3585               1119497572      94812966  
  654   3.1    2754               1119500326      94814439  
  655   3.1    2914               1119503240      94814439  
  656   3.1    976                1119504216      94815944  
  657   3.1    2817               1119507033      94815944  
  658   3.1    592                1119507625      94815944  
  659   3.1    269                1119507894      94815944  
  660   3.1    1505               1119509399      94815944  
  661   3.1    0                  1119509399      94815944  
  662   3.1    0                  1119509399      94815944  
  663   3.1    269                1119509668      94815944  
  664   3.1    5697               1119515365      94815944  
  665   3.1    1313               1119516678      94815944  
  666   3.1    5634               1119522312      94815944  
  667   3.1    1281               1119523593      94815944  
  668   3.1    1505               1119525098      94815944  
  669   3.1    2049               1119527147      94815944  
  670   3.1    6147               1119533294      94815944  
  671   3.1    3969               1119537263      94815944  
  672   3.1    3921               1119541184      94815944  
  673   3.1    0                  1119541184      94815944  
  674   3.1    0                  1119541184      94815944  
  675   3.1    285                1119541469      94815944  
  676   3.1    5026               1119546495      94815944  
  677   3.1    2688               1119549183      94815944  
  678   3.1    5124               1119554307      94815944  
  679   3.1    2800               1119557107      94815944  
  680   3.1    4545               1119561652      94815944  
  681   3.1    3072               1119564724      94818185  
  682   3.1    2049               1119566773      94818185  
  683   3.1    301                1119567074      94818185  
  684   3.1    2049               1119569123      94818185  
